Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
yes,Them!,Yön pedot,1954,Movie,DVD,,Finland,snapcase,1,yes,yes,1.33:1,89,Gordon Douglas,Owned,Poor - Slightly Damaged,Hieman kevyttä naarmua,no,no,no,no,467,7321944111915,tt0047573,,,,,,,,
yes,There Goes the Neighborhood,Siinä meni naapurisuhteet,1992,Movie,DVD,,Finland,,1,yes,no,,0,Bill Phillips,Owned,Fair,,no,no,no,no,5685,6416548803319,tt0105573,,,,,no,no,no,
yes,There Will Be Blood,,2007,Movie,DVD,,Finland,,1,yes,yes,2.40:1,151,Paul Thomas Anderson,Owned,Good,,no,no,no,no,1027,8717418135829,tt0469494,,,,,,,,
yes,There Will Be Blood,,2007,Movie,Blu-ray,,Finland,,1,yes,yes,2.40:1,158,Paul Thomas Anderson,Owned,Excellent,,no,no,no,no,2251,8717418136499,tt0469494,,,,,,,,
no,There's No Business Like Show Business,Sex i elden,1954,Movie,Blu-ray,,Sweden,,1,yes,yes,2.55:1,117,Walter Lang,Owned,,,no,no,no,no,6044,0,tt0047574,,,,,no,no,no,
no,There's No Business Like Show Business,,1954,Movie,Blu-ray,,Finland,,1,no,no,,0,Walter Lang,Owned,,,no,no,no,no,8033,7340112713034,tt0047574,,,,,no,no,no,
no,There's Something About Mary,Sekaisin Marista,1998,Movie,DVD,,Finland,,1,no,no,,0,"Bobby Farrelly, Peter Farrelly",SaleOrTrade,,,no,no,no,no,457,6420614613757,tt0129387,,,,,,,,
yes,There's Something About Mary,Sekaisin Marista,1998,Movie,Blu-ray,10-vuotis juhlajulkaisu,Finland,,1,yes,no,1.85:1,114,"Bobby Farrelly, Peter Farrelly",Owned,,,no,no,no,no,2787,6438044613766,tt0129387,,,,,,,,
yes,These Final Hours,,2013,Movie,DVD,,Finland,,1,yes,no,,0,Zak Hilditch,Owned,Still Wrapped,,no,no,no,no,5982,6430051161988,tt2268458,,Night Visions,,,no,no,no,
yes,These Final Hours,,2013,Movie,Blu-ray,,Sweden,,1,yes,no,2.35:1,86,Zak Hilditch,Owned,Still Wrapped,,no,no,no,no,8183,7340110407485,tt2268458,,,,,no,no,no,
yes,Thesis,,1996,Movie,DVD,,Sweden,,1,yes,no,1.77:1,119,Alejandro Amenábar,Owned,Still Wrapped,,no,no,no,no,7875,7319980048982,tt0117883,,,,,no,no,no,
yes,They,,2002,Movie,DVD,,Finland,,1,yes,no,2.35:1,86,Robert Harmon,Owned,Good,,no,no,no,no,7725,5706550023883,tt0283632,,,,,no,no,no,
yes,They Live,,1988,Movie,DVD,,United Kingdom,,1,yes,yes,1.85:1,89,John Carpenter,Owned,Poor - Slightly Damaged,,no,no,no,no,2022,5060049140063,tt0096256,,,,,,,,
no,Thief,,1981,Movie,DVD,,United Kingdom,,1,no,no,,0,Michael Mann,Owned,,,no,no,no,no,6454,5027035012612,tt0083190,,,,,no,no,no,
yes,Third Person,,2013,Movie,Blu-ray,,Nordic,,1,yes,yes,2.35:1,137,Paul Haggis,Owned,Still Wrapped,,no,no,no,no,3085,5051162333975,tt2343793,,,,,,,,
yes,Thirteen Conversations About One Thing,,2001,Movie,DVD,,Nordic,,1,yes,no,,0,Jill Sprecher,Owned,Excellent,,no,no,no,no,2993,5708758652582,tt0268690,,,,,,,,
yes,Thirteen Days,,2000,Movie,DVD,,Finland,,1,yes,no,1.85:1,139,Roger Donaldson,Owned,Good,,no,no,no,no,3285,5708758654814,tt0146309,,,,,,,,
